Card 06,I,1,1,2,,1,,4,4
Card 11,I,1,,2,2,,,4,4
Card 15,I,1,1,1,2,1,,5,5
Card 21,I,1,2,2,,,,4,4
Card 32,I,1,2,1,1,1,,5,5
Card 35,I,1,1,3,,,,4,4
Card 02,I,2,1,1,1,2,,5,2.5
Card 03,I,2,3,,,2,,5,2.5
Card 08,I,2,1,2,,2,,5,2.5
Card 18,I,2,1,3,,1,,5,2.5
Card 40,I,2,,2,1,2,,5,2.5
Card 43,I,2,1,1,1,3,,6,3
Card 44,I,2,,2,2,1,,5,2.5
Card 45,I,2,,5,,,,5,2.5
Card 50,I,2,1,,1,2,,4,2
Card 19,I,3,2,2,,1,,5,1.666666667
Card 24,I,3,1,3,,1,,5,1.666666667
Card 28,I,3,,2,1,2,,5,1.666666667
Card 29,I,3,,4,,2,,6,2
Card 30,グ,3,1,,3,,,4,1.333333333
Card 34,グ,3,1,2,1,1,,5,1.666666667
Card 12,グ,3,2,,2,,,4,1.333333333
Card 23,グ,4,1,1,3,,,5,1.25
Card 31,グ,4,,,2,2,,4,1
Card 46,グ,4,1,,3,1,,5,1.25
Card 47,グ,4,2,,2,,,4,1
Card 10,グ,4,,2,2,1,,5,1.25
Card 17,グ,4,,,2,3,,5,1.25
Card 20,グ,5,1,1,2,1,,5,1
Card 33,グ,5,1,1,2,2,,6,1.2
Card 22,グ,5,,1,4,,,5,1
Card 26,グ,5,2,,2,,,4,0.8
Card 36,グ,6,,1,3,1,,5,0.833333333
Card 39,グ,6,,,3,2,,5,0.833333333
Card 25,グ,6,1,1,1,1,,4,0.666666667
Card 27,グ,7,,,5,,,5,0.714285714
Card 05,生,1,3,,,1,,4,4
Card 07,生,1,2,,1,2,,5,5
Card 14,生,1,2,1,,1,,4,4
Card 38,生,1,1,1,1,2,,5,5
Card 41,生,1,2,,1,2,,5,5
Card 42,生,1,1,2,1,1,,5,5
Card 48,生,1,3,,1,1,,5,5
Card 49,生,1,3,1,,1,,5,5
Card 04,生,2,3,,,3,,6,3
Card 13,生,2,,,,5,,5,2.5
Card 16,生,2,5,,,,,5,2.5
Card 37,生,2,3,2,,,,5,2.5
Card 01,生,2,2,,1,2,,5,2.5
Card 09,生,2,3,,,2,,5,2.5
